iter	Passed	Remaining
0	157	156862
1	163	81475
2	169	56492
3	175	43645
4	181	36184
5	186	30851
6	192	27335
7	198	24612
8	202	22326
9	210	20814
10	217	19518
11	224	18502
12	230	17521
13	237	16704
14	242	15896
15	246	15184
16	252	14581
17	257	14052
18	263	13582
19	268	13141
20	272	12701
21	276	12298
22	280	11919
23	283	11533
24	288	11235
25	292	10958
26	296	10689
27	301	10478
28	307	10287
29	312	10089
30	317	9922
31	321	9734
32	326	9571
33	332	9456
34	338	9344
35	345	9254
36	351	9151
37	357	9054
38	365	9010
39	372	8928
40	377	8840
41	383	8749
42	388	8652
43	394	8574
44	399	8470
45	403	8366
46	407	8264
47	412	8186
48	417	8095
49	420	7997
50	426	7927
51	431	7858
52	435	7783
53	440	7712
54	443	7614
55	447	7540
56	451	7471
57	456	7411
58	460	7342
59	464	7272
60	467	7202
61	472	7149
62	476	7085
63	480	7022
64	484	6969
65	487	6903
66	492	6856
67	496	6802
68	502	6778
69	506	6731
70	510	6677
71	514	6626
72	517	6574
73	522	6532
74	525	6484
75	529	6440
76	533	6392
77	535	6326
78	539	6286
79	542	6240
80	546	6199
81	550	6162
82	554	6125
83	558	6089
84	562	6050
85	566	6015
86	570	5982
87	574	5949
88	577	5914
89	581	5879
90	585	5848
91	589	5813
92	592	5781
93	596	5749
94	600	5724
95	604	5693
96	608	5661
97	611	5629
98	616	5607
99	619	5579
100	624	5554
101	627	5528
102	633	5514
103	637	5488
104	641	5465
105	646	5453
106	651	5433
107	655	5416
108	659	5393
109	664	5380
110	669	5358
111	672	5335
112	678	5323
113	682	5305
114	686	5281
115	690	5260
116	695	5245
117	699	5226
118	703	5204
119	706	5183
120	711	5165
121	714	5144
122	718	5122
123	722	5100
124	726	5086
125	730	5065
126	734	5047
127	737	5026
128	742	5011
129	745	4991
130	749	4973
131	753	4954
132	757	4941
133	761	4923
134	765	4905
135	769	4887
136	773	4874
137	778	4864
138	780	4833
139	784	4821
140	790	4813
141	795	4807
142	799	4792
143	805	4785
144	809	4773
145	813	4757
146	816	4740
147	822	4732
148	825	4716
149	829	4699
150	833	4685
151	837	4672
152	841	4657
153	845	4643
154	849	4630
155	853	4617
156	857	4603
157	861	4588
158	865	4577
159	870	4568
160	873	4553
161	877	4540
162	881	4528
163	885	4515
164	889	4502
165	893	4491
166	898	4483
167	902	4469
168	906	4459
169	910	4446
170	915	4437
171	919	4424
172	922	4412
173	927	4401
174	931	4391
175	935	4380
176	939	4368
177	943	4355
178	947	4345
179	950	4332
180	954	4319
181	958	4307
182	962	4297
183	966	4285
184	970	4273
185	973	4261
186	978	4252
187	981	4240
188	985	4227
189	988	4215
190	993	4209
191	997	4198
192	1001	4186
193	1004	4175
194	1009	4167
195	1013	4156
196	1016	4144
197	1020	4133
198	1025	4126
199	1028	4115
200	1032	4104
201	1036	4095
202	1042	4091
203	1046	4081
204	1049	4071
205	1054	4063
206	1058	4056
207	1062	4046
208	1066	4036
209	1072	4034
210	1076	4025
211	1080	4018
212	1085	4009
213	1090	4005
214	1095	3999
215	1099	3992
216	1105	3988
217	1109	3981
218	1113	3972
219	1118	3964
220	1122	3955
221	1126	3947
222	1130	3937
223	1134	3930
224	1138	3921
225	1142	3913
226	1146	3903
227	1150	3897
228	1155	3889
229	1159	3881
230	1163	3872
231	1168	3866
232	1172	3859
233	1176	3850
234	1180	3843
235	1184	3835
236	1188	3827
237	1192	3817
238	1197	3811
239	1201	3803
240	1205	3795
241	1208	3786
242	1213	3779
243	1217	3772
244	1221	3764
245	1226	3759
246	1230	3752
247	1234	3744
248	1238	3735
249	1242	3728
250	1247	3721
251	1250	3713
252	1254	3705
253	1260	3701
254	1264	3694
255	1268	3686
256	1272	3678
257	1277	3674
258	1281	3666
259	1285	3659
260	1289	3651
261	1294	3645
262	1298	3638
263	1303	3632
264	1307	3627
265	1312	3620
266	1316	3614
267	1320	3606
268	1326	3603
269	1330	3597
270	1335	3593
271	1341	3590
272	1345	3584
273	1351	3580
274	1357	3578
275	1362	3574
276	1366	3567
277	1372	3565
278	1377	3559
279	1382	3553
280	1386	3547
281	1390	3540
282	1394	3533
283	1398	3525
284	1402	3518
285	1406	3510
286	1409	3502
287	1413	3494
288	1418	3489
289	1422	3481
290	1425	3473
291	1429	3466
292	1433	3459
293	1437	3452
294	1441	3444
295	1445	3437
296	1449	3431
297	1453	3424
298	1457	3416
299	1461	3409
300	1465	3403
301	1469	3396
302	1473	3389
303	1477	3382
304	1482	3377
305	1487	3373
306	1491	3366
307	1496	3362
308	1502	3359
309	1507	3356
310	1514	3354
311	1519	3351
312	1524	3346
313	1530	3344
314	1535	3338
315	1539	3332
316	1543	3326
317	1548	3320
318	1552	3314
319	1557	3308
320	1563	3306
321	1567	3300
322	1571	3294
323	1576	3288
324	1581	3284
325	1585	3278
326	1590	3272
327	1595	3268
328	1599	3262
329	1603	3255
330	1608	3251
331	1613	3245
332	1617	3239
333	1621	3233
334	1625	3227
335	1629	3220
336	1633	3214
337	1638	3208
338	1642	3202
339	1646	3195
340	1650	3189
341	1654	3184
342	1659	3178
343	1664	3174
344	1668	3167
345	1674	3164
346	1679	3160
347	1684	3155
348	1689	3151
349	1693	3145
350	1697	3138
351	1701	3132
352	1705	3126
353	1709	3120
354	1713	3113
355	1717	3107
356	1722	3101
357	1725	3095
358	1729	3088
359	1734	3082
360	1738	3076
361	1742	3070
362	1746	3064
363	1750	3059
364	1754	3053
365	1758	3046
366	1762	3040
367	1767	3035
368	1771	3029
369	1775	3023
370	1780	3018
371	1784	3012
372	1788	3006
373	1792	3000
374	1797	2995
375	1801	2989
376	1805	2983
377	1809	2978
378	1814	2973
379	1819	2968
380	1823	2963
381	1829	2959
382	1835	2956
383	1839	2951
384	1845	2948
385	1850	2943
386	1854	2938
387	1860	2934
388	1865	2929
389	1870	2925
390	1876	2923
391	1881	2918
392	1886	2914
393	1891	2909
394	1896	2904
395	1900	2898
396	1904	2892
397	1909	2888
398	1913	2882
399	1917	2876
400	1921	2870
401	1926	2865
402	1929	2858
403	1933	2852
404	1937	2846
405	1941	2841
406	1946	2835
407	1950	2830
408	1957	2828
409	1961	2822
410	1964	2815
411	1969	2810
412	1974	2805
413	1978	2799
414	1982	2794
415	1986	2789
416	1990	2782
417	1994	2776
418	1998	2771
419	2003	2766
420	2007	2761
421	2011	2755
422	2016	2750
423	2020	2744
424	2024	2739
425	2028	2733
426	2034	2729
427	2038	2724
428	2043	2720
429	2049	2716
430	2055	2713
431	2059	2707
432	2063	2702
433	2067	2696
434	2071	2690
435	2074	2684
436	2079	2678
437	2083	2672
438	2086	2666
439	2090	2660
440	2094	2654
441	2098	2648
442	2101	2642
443	2105	2636
444	2109	2630
445	2113	2625
446	2117	2619
447	2121	2613
448	2124	2607
449	2129	2602
450	2133	2596
451	2137	2591
452	2140	2585
453	2145	2579
454	2149	2574
455	2153	2568
456	2157	2563
457	2162	2558
458	2166	2553
459	2169	2547
460	2175	2543
461	2178	2537
462	2182	2531
463	2186	2526
464	2191	2521
465	2195	2516
466	2199	2510
467	2203	2505
468	2208	2500
469	2212	2495
470	2216	2489
471	2221	2484
472	2225	2479
473	2229	2473
474	2233	2468
475	2236	2462
476	2240	2456
477	2244	2451
478	2248	2445
